
2026/08/30 (07:39:00) | ===> btop++ v.1.3.0
2026/08/30 (07:39:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/09/03 (10:05:34) | ===> btop++ v.1.3.0
2026/09/03 (10:05:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/09/03 (10:32:42) | ===> btop++ v.1.3.0
2026/09/03 (10:32:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/09/03 (10:36:18) | ===> btop++ v.1.3.0
2026/09/03 (10:36:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/09/03 (10:36:33) | ===> btop++ v.1.3.0
2026/09/03 (10:36:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/09/03 (13:29:31) | ===> btop++ v.1.3.0
2026/09/03 (13:29:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
